epoch,gen_total_loss,gen_gan_loss,gen_l1_loss,ssim_loss,disc_loss,gen_total_loss_val,gen_gan_loss_val,gen_l1_loss_val,ssim_loss_val,disc_loss_val
1,0.010064936353765,0.6745944354830697,0.1784928852710688,0.4805419635654676,1.75486649103684,0.0114139642621768,1.058089149057275,0.1056112792232249,0.3155229800998574,1.6438164552839676
2,0.0077152373342968,0.6735319450645163,0.0838412343367639,0.2480948614602041,1.6335831696149146,0.0092889477996764,0.8099368766392812,0.1206084510477462,0.2672279953956604,1.481450885121185
3,0.0073900753831592,0.7104636551277472,0.0656545988496134,0.1749699831599056,1.4662680730961335,0.0075662241391099,0.7017125816628484,0.0735654087571224,0.2028115219408922,1.4057712141830143
4,0.0072042146221605,0.7122804667985085,0.0604039031108564,0.1503219330959981,1.434688159616867,0.0072439706008328,0.7298531122726969,0.0589729535992782,0.1359026492232143,1.4023558116195225
5,0.0070830277262928,0.7104931398636044,0.0583482191962475,0.1359333585689563,1.4199963310862531,0.0076371048752329,0.7855992136615337,0.0569020145674153,0.1305484543932546,1.400699255962183
6,0.0069550936745415,0.7066292838885052,0.0559167140237249,0.1238153353776082,1.415737749060782,0.0069063029823695,0.6828524201223166,0.0665612460805638,0.1296451530834236,1.3887034116405073
7,0.0068546226780658,0.7010937994216928,0.054757548967321,0.1163827541736092,1.4161628766225116,0.0072627973161859,0.7216879914302637,0.0655920074201456,0.1388955064339213,1.3938936587607509
8,0.0068347525186975,0.7001862918386365,0.0545116469678976,0.1146909098518957,1.4101478241457797,0.0074523262366062,0.7415634986197595,0.0676294008435884,0.1405873269137769,1.3941471196637296
9,0.0067960180932342,0.6982109345864541,0.0540420541410694,0.1116516365568236,1.4094635020388235,0.006803262015196,0.6927773034218514,0.0561378875728881,0.1166107389006284,1.3900824490160044
10,0.0067536107220659,0.6983399197459221,0.0526895800716068,0.1066658817895568,1.4025032068833263,0.0066245534955201,0.6712745314777487,0.0544408445015992,0.1183247565042854,1.3942345978009818
11,0.0067331271278349,0.6962370569015494,0.0524813857694884,0.1064027596523266,1.404769508319326,0.0069939292091323,0.7043848930018963,0.0584189892515982,0.1291099844592632,1.390994917992318
12,0.0066883432351532,0.6980063246913476,0.0501309276715216,0.1004971848265959,1.4015424781506605,0.0067765515205441,0.7018134107684145,0.0516373929742834,0.1076116740113437,1.3892794486319664
13,0.0066619088960866,0.698204714797511,0.0487130713049728,0.0981900317539083,1.39856697096683,0.0070334208539069,0.6949090059440914,0.0572405818812917,0.1502904530799035,1.3905437221621524
14,0.0066276186210389,0.6968943274847351,0.0477477604601679,0.0958310234074545,1.4004850693858495,0.0069641248673421,0.7253182453684287,0.0493046514284197,0.1114220223804511,1.390381430635358
15,0.006624777271818,0.6981862785645051,0.047185865791035,0.0945713538049471,1.3966631606663809,0.0067715780938615,0.7079440581916583,0.0490289212951418,0.1029560239008157,1.3886259128551672
16,0.006580462117707,0.6954037283906842,0.0465692065693069,0.0919233276112244,1.39990379780826,0.0067834523644777,0.7071591797441539,0.0485343062420292,0.10680593370211,1.3892275984924618
17,0.0065830296723835,0.6975408774791377,0.045982245079214,0.0904799912530597,1.395979922360713,0.0067344966362977,0.7007009300855127,0.0473729200144805,0.1091932915224887,1.3895618582716085
18,0.0065703876842145,0.696769034124837,0.0456599777859478,0.0899392279953059,1.3948465380928303,0.0067625932377016,0.7019563725679228,0.04904184805801,0.1094205846880922,1.3886047849560728
19,0.0065545660291457,0.6958060463466267,0.0453854524281502,0.0890438127340656,1.3962904776086902,0.0068576077414252,0.6960080798309628,0.0508679787471595,0.1301438440190683,1.3886493682861327
20,0.0065551636357893,0.6976669891931043,0.0448717897472036,0.0875182606501154,1.393040364449567,0.006931006866,0.7080749920099089,0.0554715038231103,0.1186152700150367,1.3901695907706082
21,0.006566449933879,0.6986328319747849,0.044921844702509,0.0880280932282457,1.3917159783958208,0.0069558576708382,0.7185706884554117,0.0502451432407787,0.1174734115600586,1.3905046252921076
22,0.006520261645022005,0.6961946925314346,0.04406215562162423,0.08501371452123813,1.396250151702673,0.0066628361166925125,0.6913731340134498,0.048595105864033844,0.10764995435676952,1.3902947314895027
23,0.006522211032034368,0.6968267682460275,0.04381750879652503,0.08490359018934836,1.3933840134946427,0.006685495099956446,0.6949431946962187,0.04761153557476136,0.10830565348710164,1.3873867254446048
24,0.006497823054865372,0.6951043163490768,0.04341963208833765,0.0837986575199826,1.3972479105585873,0.006705708511284377,0.7113067816979814,0.0448716480690654,0.09442291897122222,1.3889761709930872
25,0.006504290003679914,0.6972250215782978,0.043086179311728416,0.08260462998163583,1.3934655109844585,0.006608384440072102,0.6935434349692694,0.04615183593059825,0.09975305500597056,1.3866437574424366
26,0.006529864046658103,0.6973387033927558,0.044124663574160033,0.08498458888861213,1.3935497548320506,0.006720433759475403,0.7061760111610488,0.044596864399269666,0.10417612578609202,1.3870293659738975
27,0.006507278493107619,0.6967716880954138,0.043395651722474414,0.0831913681903688,1.3932438341697844,0.006633326248035277,0.6983574624108796,0.04566386359752995,0.09830460890684978,1.3868544259873947
28,0.006493932107869204,0.6968343660973086,0.0428266759685213,0.08183169270506,1.3919145927570833,0.006636372832858031,0.7076783523701206,0.04366809937199301,0.08971079304666803,1.3878790234575178
29,0.006476454459831561,0.6952783114839308,0.042570341703491194,0.08142071502043469,1.3954735964241594,0.006659841578048054,0.6957881683170205,0.04581331999990905,0.10590046443561517,1.3862568163635707
30,0.006472945010916579,0.6955336016593593,0.042449063696612666,0.08069754992381181,1.3947764335882546,0.006535003006015673,0.6956506949840205,0.043775229037988306,0.08867414776641544,1.3876346422894166
31,0.006481088773983687,0.6967773899878605,0.04211876422240592,0.08094695877320696,1.391421788458777,0.0066564539622626095,0.7062350258968845,0.04547838142860939,0.09196494805930865,1.3885244442684817
32,0.006455650394275268,0.695811245524057,0.041552617161599276,0.07893900030320233,1.3935684373473176,0.0065823756462645416,0.700834332598318,0.04490936684357648,0.08776784202840068,1.3886506913912178
33,0.006432031185854927,0.6936468839202777,0.04132529742056781,0.07826714633715035,1.3969154136015638,0.006636701501205121,0.6936012052073337,0.04910918749352493,0.09946662152167594,1.386414885520935
34,0.00643851872681096,0.6942608955768075,0.041370650563886995,0.07845413277644922,1.3942993700504303,0.006690129231071413,0.7023936674146369,0.046845385127949835,0.10042096636082866,1.387875491321677
35,0.006451911239257765,0.6970640228526427,0.04100230415121164,0.07756262619306545,1.3898519362553512,0.006636140422692689,0.7053350609127838,0.045165496981601314,0.09030078389857076,1.3892775460044937
36,0.0064408821915967925,0.6967933446168899,0.040669689005664963,0.07663971262403053,1.3907684779403233,0.006503975674473118,0.6956352409749929,0.04290463923485857,0.08497451567413783,1.3873685834431413
37,0.006425725673279255,0.6952421242942904,0.040731814217818255,0.07607837862307483,1.3936526504483553,0.006655787647987651,0.7094998828255304,0.044845879219915015,0.08855492018236973,1.3881839520860426
38,0.006442699057861499,0.697379316610865,0.04075554163001552,0.07601814175596332,1.3901032151562152,0.006577767215964227,0.6998279265838094,0.04187859734796947,0.09339292486115257,1.3872519271208508
39,0.006423892482820124,0.6955573225965594,0.04045718082337465,0.07581030661516851,1.3942496349905977,0.006552533677198214,0.6872474953679755,0.04494093702644995,0.10085734966957924,1.386799980154132
40,0.006431179073648435,0.6956677324110919,0.04086963203459019,0.07619010608385104,1.391311778880582,0.006677176906625823,0.7146397127963529,0.04520418293737244,0.08466951799864816,1.3887132059229483
41,0.0064151428289490175,0.695637722357665,0.04020192279655597,0.07467025966927557,1.3920118242797286,0.0065477614696736975,0.691424283768871,0.04513220121475434,0.09417415278972965,1.3876888921945403
42,0.006415124817539265,0.695494070531118,0.04023999779365293,0.07479533523616225,1.3925862119929626,0.006577415402868007,0.6981589991267365,0.042599936550722854,0.09435729744410751,1.387127129158171
43,0.006413167775931335,0.6948718022591996,0.04038222836247544,0.07506180237425436,1.3931222786997806,0.006477325907585645,0.687960431835439,0.041586340691820524,0.09296313158356317,1.3871756782626161
44,0.0064145414672773515,0.6953908743834731,0.040286881415781996,0.07475756613334807,1.3916369339027026,0.006633456360253662,0.7054106705259569,0.04665294614906358,0.08727354543043836,1.389753261651143
45,0.006407231606063571,0.6952550250704926,0.04000845934301246,0.07418442498339285,1.3905121487556118,0.006655420916210307,0.700505277543965,0.04474443420583364,0.10065568036372119,1.388190007209778
46,0.006395145884189423,0.694433152705136,0.039751131527845075,0.07369484871920973,1.3931833480844402,0.0067177503471179765,0.7098837343773039,0.043097098192919306,0.1012848690004632,1.3886180525959129
47,0.006420305730673567,0.6965740364081788,0.040116643960965745,0.07442445775659957,1.3884812740406187,0.006547431283547442,0.6890313063517656,0.04257087661230033,0.10157863727890619,1.3876876569030308
48,0.006387856605665592,0.69487171609803,0.039480184797787726,0.07234679460525513,1.3925217184689966,0.006789196209779175,0.7015514705440785,0.050670486679392876,0.11167988611920045,1.3881943551620635
49,0.006395127912660563,0.6960825499036525,0.03943620305139534,0.07201753727870412,1.390828759127324,0.006447214202604966,0.6737620649951519,0.048538731470113936,0.09528835527967698,1.3874417437185156
