epoch,gen_total_loss,gen_gan_loss,gen_l1_loss,per_loss,ssim_loss,ssim_loss_val,disc_loss,gen_total_loss_val,gen_gan_loss_val,gen_l1_loss_val,per_loss_val,disc_loss_val
1,3.62540693384881,2.8513686135632565,0.1829974336715618,597.6672013915411,0.2952553279033982,0.213055943970633,0.6418812443317827,3.0464574634438693,6.958058300566408,0.1679533616224728,496.4101064096583,0.88933502291237
2,2.159909560494494,4.154300262122461,0.1204351745804052,352.6045833247723,0.1968657313892156,0.1664232590410969,0.481176418013465,2.1767621766812733,4.02237281173025,0.1019625478783751,355.8737309521968,1.0135340935239998
3,2.0412773495853536,4.812886612451091,0.1083637027936701,332.1255891195618,0.1787413608614761,0.1493291590473439,0.3733498505102286,1.9496318653668507,2.064129719158432,0.0763054184800032,320.81488377032895,1.285892478251221
4,1.940739296797184,4.745075436233368,0.0991646930188088,315.5703892094074,0.1672938131754941,0.1636635962099132,0.4027632254600009,3.49777602559269,18.539253061641663,0.1728295129087597,556.5917488815761,1.3417355331070122
5,1.943971079683835,4.837034108408607,0.0992679611715202,315.9865344869028,0.1672580747911245,0.1443780219200814,0.3924303223411229,1.9956554997675489,3.827657333334261,0.0824472399963305,326.1651418100489,1.7033119741619778
6,1.8760903703399223,4.575175336361079,0.0912692773681465,305.1046100333185,0.1589718916038475,0.1739790956572731,0.4649281421367374,4.161517269599556,32.21728130586349,0.2240853110531179,648.8065300063331,0.846302626277251
7,1.8515203077161664,4.267904312539809,0.0863710830264752,301.4654495154277,0.1544129924313856,0.1414669721433431,0.5554812703281641,2.3962145709460323,10.46080982921516,0.103280879033379,384.0703189736546,1.4299081526696682
8,1.760436228470932,4.393626955007711,0.0821929898924461,286.15256217068963,0.1509977947957445,0.3055716872215271,0.6083853628965887,83.1450906024711,291.06068343160445,1.76097510234628,13463.952676678648,2.7600855170322944
9,1.7139795576434325,4.090197264661294,0.0788710559543111,278.8516843588045,0.1471829265060991,0.1335363347931663,0.6330049101779661,2.191037026578837,5.64700633526442,0.0852378849604047,356.3886264083409,3.1067605834299847
10,1.6931153870160036,3.428579743792957,0.0761700156467533,276.2844911631971,0.144361734183708,0.1252410686842285,0.740823843540384,1.7080355899463786,0.8286554445126751,0.0572908510426336,282.4285617110753,2.3992471637333384
11,1.676916290812268,2.7973145712093257,0.0737274246880471,274.45526291214594,0.1413781671535851,0.1313380109201563,0.7857901930993442,2.097754488988678,4.813567949374123,0.0793530042366226,341.9809155190345,1.5173070794727543
12,1.606502866590082,3.070101513614011,0.068740897074268,262.42409989763013,0.1342007116516037,0.1907217299584115,0.7901024173170623,68.92372653926954,174.95439083016856,1.0281120807817667,11250.712306972542,1.070297015172494
13,1.6157935411844513,2.91639379168501,0.0663495350564544,264.2016503145199,0.1317795746692336,0.1444721489849657,0.816291994428133,2.114958560024158,10.733149260592343,0.1073411262437406,336.79938741060766,1.2453290382418598
14,1.5755540842835856,2.6850621361285447,0.0628673486697422,257.83521388214416,0.1286723061068223,0.1562182484286846,0.8940473916691424,8.084241791246551,46.851706331163314,0.2569443893056399,1283.1746152613423,1.3218501823244266
15,1.552259063746522,2.168171625975335,0.0613991192173175,254.67571946323508,0.1249073154265337,0.1134673426646997,0.980525522874576,1.56821050632118,1.2600457977687958,0.0480957238317126,258.6626337353546,1.7869494008545828
16,1.515767735209648,2.011591406225568,0.060095089384456,248.81665782267504,0.123481883536471,0.1199337680741111,0.9168432233209656,1.6361992660577935,1.0946945091174676,0.0542500118642012,270.15041656305294,1.6825840503862588
17,1.4797132743725387,2.277703854876875,0.0578123904866083,242.48223974681136,0.1204012996194386,0.1170597929765682,0.8627050485166878,1.7456153189634334,1.1071276619882866,0.055057260346147,288.39245191895134,1.8602124410690648
18,1.4896821518198098,1.1236110264416967,0.0550018468106368,245.6604391069696,0.1236119299536884,0.1724826609734261,1.2869652887087055,2.498863350017236,0.7280766630335769,0.1391655543284251,413.83715476989744,1.8406969795132628
19,1.4227957810727083,1.1371371468178706,0.0524832178820109,234.53098390834165,0.1197586993179699,0.2771296816297097,1.2267329844212769,5.962868705450898,0.4949726507651081,0.4303170928325836,990.1248762942776,2.7940988119285888
20,1.3898470556640097,1.1604109404922125,0.050394621408443,229.048581815002,0.1153663276150675,0.1979605138891994,1.2219772262812252,2.7802781623041275,1.4742320194692895,0.1823721874007346,459.4604230219775,1.5107034853189298
21,1.3624460890483443,1.1397495913402278,0.0490941454776295,224.5280974902729,0.1133710902221132,0.1719122419262876,1.215400999769716,1.983597635957274,0.7545625693653479,0.1134874954211092,327.9717724979514,1.5169566155070124
22,1.3426033294436954,1.1453996298115443,0.0481522862513614,221.23574649225367,0.1108823426879278,0.1549413245503265,1.1939940180076232,1.8208636117011012,1.3099283757776317,0.1021216456142097,300.2693143070334,1.400287704184504
23,1.3257871837419744,1.1196108096380637,0.047508847728224,218.4738677284505,0.1102397600317945,0.1466859730163423,1.2112053168734702,1.6703825079568542,0.5317763725941134,0.0830672935831664,276.3272175212898,1.6627882200302464
24,1.3029943049986763,1.121844925945348,0.047022345580972,214.68336673963188,0.1089822151283226,0.1186051319141199,1.1952220194853178,1.4811616438302664,1.0724529269308147,0.0533277439285475,244.3530795711102,1.5273336408161882
25,1.285040250409505,1.1095330242879025,0.0463498018073416,211.71492145793272,0.108219023860327,0.1537630770466115,1.211493952365795,1.8539895952042968,1.3317237156157449,0.0987530683047405,305.7766839848887,1.335191009658398
26,1.270162112037144,1.0990649136871395,0.0461405101933027,209.25831245667865,0.107166033924216,0.1261539606764765,1.2080198904370318,1.5417768376077166,1.595131890431489,0.0662527184675235,253.67425693096504,1.4967811454640756
27,1.253820453019868,1.1043957968159477,0.0459130638260578,206.53281715317527,0.1065848421932447,0.1166605422992517,1.1960176923118606,1.441834222296677,1.154803505775952,0.0543523027810572,237.7032042909377,1.508580186815545
28,1.2374527024437147,1.09488064813068,0.0455195282701181,203.82955546190243,0.1052223194648723,0.1120141520358548,1.2007136408792864,1.426783894577829,0.9923384737555344,0.0508777468953982,235.45594769846096,1.3685226707175226
29,1.2241594851146091,1.093642066396994,0.0454782624267926,201.6198359192008,0.1047307876667173,0.1246031529832594,1.2025587695069833,1.510545502204706,1.2753042340573697,0.0655543955301146,248.90955835663445,1.508336327099564
30,1.2100757404350408,1.074038231809909,0.0455319211652299,199.2999112119769,0.1045727729797363,0.1341491258970581,1.1939287784518582,1.5967207125507958,1.1173801395562617,0.0761037792328118,263.3855273161784,1.519265314139942
31,1.1975849300844243,1.0775062914495126,0.045487541525099,197.21717541713525,0.1041388201536518,0.1201836624948105,1.210606956577832,1.4968521338804524,0.8101138700353037,0.0628774739433043,247.2888758309997,1.4834284935847368
32,1.1822899761729606,1.0612324665733937,0.0453445652057186,194.69435569413815,0.1036105348627166,0.1213278834182437,1.2178150234836165,1.4623653055712729,0.5732186355360663,0.0610877980653307,241.85037803649905,1.5552406771348255
33,1.1709831601783338,1.0516581911704328,0.0453539144229328,192.82341417888605,0.1035171994478395,0.154210082847293,1.217374934551149,1.736812354181663,1.22036674179063,0.0956119976587372,286.3971299539698,1.3848746486819616
34,1.1608380163678589,1.0587152158048485,0.0453374846368142,191.1268059787184,0.1030815334013193,0.1129321234060986,1.2057307999175373,1.385870010914779,0.8524663266569081,0.0539494482966342,228.81069390136415,1.625868294616737
35,1.1490583250649495,1.0614618784794123,0.0452647787191453,189.16496579623455,0.1024835375571014,0.112091854185161,1.203571309591874,1.370307507712652,0.6254323219308758,0.0531432983050547,226.5280014226932,1.687118883416204
36,1.140784086390297,1.0697002793339514,0.0452702982351183,187.77665826188456,0.1022763958956935,0.1200915029733488,1.201984503525909,1.4777457420483675,0.7129955234651518,0.0655993065363404,244.2302001726509,1.5670018899558795
37,1.1286376751221645,1.0700230402078958,0.0451186408699112,185.75567677186268,0.1018446561723652,0.1162747854053384,1.1992795120371451,1.3861844826747876,1.320560619854691,0.0553051350693596,228.20886546786468,1.7182433320744204
38,1.1232051263738534,1.073008743400621,0.0454936293525492,184.8433520302914,0.1021199864621209,0.1558937619228174,1.1997813999210254,1.6742492449460644,0.6129941767321365,0.0955634356190515,276.7658260609844,1.5993311225482734
39,1.112218721624058,1.0706420353069754,0.0450663383192576,183.0215809347606,0.1014685071931027,0.1115302949848741,1.1987069174057186,1.36522274371421,0.4766226481683183,0.0531890703697163,225.883556985383,1.6589133398367626
40,1.100326394798732,1.0651898914929665,0.0449695741190658,181.05080312809145,0.1010070254306982,0.1057540692905388,1.2013029159000606,1.3093601073664014,0.6038472955769831,0.0475304137601858,216.4610519333641,1.566363759206073
41,1.093822549106461,1.0677810797375618,0.0452069687915246,179.9619298026113,0.1011328353740201,0.1165586104487428,1.2027470731794243,1.3922007410980688,1.4594223293927635,0.0557768409610679,229.02327448778811,1.7739044309842704
42,1.0862549398758328,1.0617692675625925,0.0452175452456911,178.71136493895312,0.1008082352652408,0.1153926018441077,1.1967965175757314,1.375984280674469,0.3787268739673171,0.0573645833031375,227.76852924233617,1.7968548682656618
43,1.0755828903545397,1.0578628026170305,0.0449629370865439,176.94515967156627,0.0999878064830704,0.107256264379709,1.2091647769702545,1.3187686692443814,1.1752111593685528,0.0506021366832722,217.24968931556927,1.7985198195617975
44,1.0701692377945575,1.0646167810194858,0.0449618289698985,176.03460330467414,0.0999011017603449,0.1113337281906958,1.2009925652701077,1.3679679446291215,0.3741461196748337,0.0527448551194502,226.48010466358448,1.7642976724275268
45,1.0638106286138445,1.0499271957222187,0.0449102814512161,174.99607392844587,0.0997130689644577,0.102457063741023,1.2078399997979108,1.2989741984865453,0.4499336898326874,0.0462793331593275,214.9648443656393,1.706800409118728
46,1.0556379739766812,1.059035926644165,0.0448237707202166,173.62357680962816,0.0995195499151059,0.1113709519405176,1.1994935532902726,1.3733780129711226,1.117383463370918,0.0549469591846855,226.38681945423087,1.660866661237018
47,1.0512532895984184,1.0670839104137504,0.045129919215797,172.8794058358315,0.0997774978675464,0.1042779424402973,1.1953254782622404,1.320712437842152,0.3974876543082813,0.0476395871988174,218.64037269743363,1.7637522436604642
48,1.0433540519031852,1.06899403571935,0.0447731186903201,171.57002888056311,0.0986837065751009,0.1182360783661946,1.1915314090724038,1.3663976659426595,1.533051340414746,0.0577349934579417,224.60734793502505,1.8057988282477504
49,1.0360703587661138,1.064919049403455,0.0446293817588709,170.3637506312663,0.0984439600517254,0.1027371615466505,1.1959929261319708,1.3100053989061031,2.1481258736978663,0.0473573636614007,214.53499055805773,2.6121814248585467
50,1.0310608059204747,1.0768503065857262,0.04474543858974213,169.51347313257727,0.09835397087701477,0.10310457130469898,1.1912094400218218,1.3264615224877205,0.7633607563701006,0.04927999722116654,219.11776581943624,1.6698429958655103
